town,avg_an_wage2001,avg_an_wage2002,avg_an_wage2003,avg_an_wage2004,avg_an_wage2005,avg_an_wage2006,avg_an_wage2007,avg_an_wage2008,avg_an_wage2009,avg_an_wage2010,unemp_rate2003,unemp_rate2004,unemp_rate2005,unemp_rate2006,unemp_rate2007,unemp_rate2008,unemp_rate2009,unemp_rate2010,unemp_rate2011,unemp_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011,avg_commute_2000,total_crime_per_1000,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,popn2000,perc_bach_2000,EDUCATION,INCOME,POVERTY,HOUSING,COMMUTE,CRIME,TAXES,EMPLOYMENT,,,,,,,,,,
Corinth,22097,22698,22057,25432,29121,30642,30571,30190,28974,29919,4.4,4,4.2,4.7,4.5,5.3,6.9,7,7.6,6,0.5952,90100,168200,168800,19.4,22.8,24.8,491,453,593,1103,1042,23.3,31,32.5,30.94,64.34,10.68,28.13,12.53,26.63,49.26,48.54,38.1,30.1,1461,8.76,0.318074066,0.40249928,0.442187074,0.362928625,0.150536006,0.766171449,0.395374107,0.109131403,,,,,,,,,,
Cornwall,27093,48820,109928,35864,40948,40619,37725,38989,35214,41429,2.2,2.1,2,2,2.1,2.3,3.7,3.7,3.1,2.5,0.3402,152000,248900,308300,19.7,22.9,22.7,357,366,675,981,911,27.5,25.8,28.3,17.35,35.21,5.72,25.62,12.76,31.87,47.15,28.63,40.8,39.68,1136,15.14,0.654164252,0.893817965,0.780338151,0.594660108,0.973623645,0.930037634,0.755228472,0.888641425,,,,,,,,,,
Coventry,27177,22601,22143,22376,31666,31633,32152,31349,34575,36394,3.1,2.2,2,2.9,2.6,3.1,4.6,4,3.2,3.2,0,73700,159500,160400,19.1,18.3,21.5,357,394,438,850,763,23.3,45.9,45.5,17.49,59.17,17.16,26.82,9.47,31.95,47.94,27.45,36.3,36.94,1014,5.23,0.132118211,0.678892719,0.000409054,0.282028144,0.965144449,0.795254462,1,0.732739421,,,,,,,,,,
Craftsbury,18475,19430,20572,22690,24288,23821,25539,27502,28252,30105,4,4.2,3.3,3.9,3.7,4.5,6.3,6,5.8,4.9,0.56,89300,160600,162500,19.4,25.4,28.4,344,365,580,750,675,22.5,25,,23.85,35.21,12.59,20.95,19.63,31.07,51.65,39.28,41.4,28.92,1136,15.76,0.686825054,0.410438921,0.311971639,0.867127877,0.579946702,0.930037634,0.445048122,0.354120267,,,,,,,,,,
Danby,26093,27478,28261,31746,35854,36870,39405,40503,41046,43833,4.2,3.7,2.7,2.4,2.9,3.9,8.3,5.8,6.3,5.8,0.53,93200,211300,225000,18,19.7,22.3,397,418,528,639,825,25.8,24.4,21.5,25.88,59.6,8.28,25.54,13.16,27.4,48.37,41.44,37,31.18,1292,8.82,0.321234789,0.996435699,0.605808563,0.775039221,0.456998365,0.792835566,0.487383929,0.153674833,,,,,,,,,,
Danville,22042,22922,23147,24474,25861,27310,28919,28924,29279,30414,3.7,3.5,3.4,3.2,3.1,3.9,6.7,5.6,5.8,5.8,0.4447,99000,162000,166200,18.6,21.9,21.2,790,845,391,635,434,20.3,21,28.4,24.7,35.73,8.28,26.1,15.11,27.09,51.61,60.88,41.2,36.32,2211,11.49,0.461886951,0.423628971,0.605808563,0.689792043,0.528465871,0.927112456,0.607758742,0.153674833,,,,,,,,,,
Derby,26479,27455,29556,31843,32672,32981,33548,34460,32731,34492,5.6,4.2,4.2,4.1,4.1,5,7.8,7.1,6.8,6,0.326,86900,150400,166500,19.2,19.2,20.6,1596,1458,456,669,710,24.8,27.3,31.9,18.72,67.98,10.23,27.19,15.1,32.32,48.13,49.63,38.9,92.76,4604,8.1,0.283306116,0.59770348,0.472866103,0.649279875,0.890648658,0.745695208,0.775267421,0.109131403,,,,,,,,,,
Dorset,29564,27135,28734,30846,31806,33161,35953,34557,35746,39724,3.3,3.1,2.8,3,2.9,3.7,5.5,6,5.3,4.5,0.1493,210300,473600,451400,19.4,25.3,25.5,824,748,713,941,866,24.3,29.5,40.3,18.5,47.64,5.4,21.91,19.55,30.7,49.93,47.82,45.1,42.58,2036,20.87,0.956013275,0.821037916,0.80215435,0.140362362,0.903973109,0.860114644,1,0.443207127,,,,,,,,,,
Dover,18978,18690,20295,20759,21208,22520,23616,22258,21063,22196,4.3,5.6,5.5,6.4,7,7.2,9.1,8.6,11.7,9.6,0.3063,143300,259800,275900,21.9,26,27.8,469,530,642,642,690,25.9,19.7,19.7,22.44,288.65,9.93,22.2,11.13,39.15,47.38,35.3,41.3,39.94,1410,21.63,0.996049097,0.072833406,0.493318789,0.458768298,0.665344316,0,0.803067935,0,,,,,,,,,,
Dummerston,28965,29326,31603,32227,33063,33315,33989,36101,36462,36892,2.4,1.7,1.6,1.9,1.9,2.1,3.9,3.8,3.5,3.4,0.2638,129700,226300,236500,19,18.7,23.1,612,675,578,703,850,23,25.8,26.6,19.92,33.42,2.4,23.13,13.89,30.76,49.28,30.58,42.4,62.61,1915,17.02,0.753200232,0.700150469,1,0.607287354,0.817969838,0.940106994,0.863043662,0.688195991,,,,,,,,,,
Duxbury,30720,31755,33955,34729,33293,35584,34930,38610,41704,39190,2.9,2.7,2.6,1.8,2.1,2.5,3.8,3.8,3.5,2.6,0.3177,110000,215000,218500,21.5,20.7,19.2,496,504,550,963,1073,19.4,21.7,19.6,24.61,44.22,4.97,24.2,9.08,32.66,45.86,42.92,38.4,30.04,1289,16.21,0.710530475,0.798243461,0.831469866,1,0.533916783,0.879353311,0.786980328,0.86636971,,,,,,,,,,
East Haven,14538,13784,14401,12859,13618,13773,16334,15767,16290,20351,7.5,4.9,4.3,5.5,5,7.5,11.6,12.8,10.3,9.2,0.6065,58400,96400,98700,17.1,21.4,22.3,100,120,625,,1275,45,,47.5,29.16,36.54,17.94,24.92,10.96,24.92,50.16,37.41,37.1,8.05,301,6.64,0.206395196,0,0,0.184666832,0.258342923,0.92255593,0.37942762,0,,,,,,,,,,
East Montpelier,27967,28061,30168,31110,33484,34039,35194,35230,35255,36497,3,2.7,2.6,2.7,2.6,3.2,4,3.9,4.1,3.2,0.503,121800,211400,227200,18,18.3,19.9,845,900,647,1058,1126,22.9,25.9,28.2,18.62,43.06,3.61,24.32,10.98,32.85,49.04,31.99,40.8,80.58,2578,18.31,0.821155771,0.683289402,0.92418871,0.778748953,0.896705227,0.885878706,0.525486156,0.732739421,,,,,,,,,,
Eden,16802,18622,19578,19066,19210,19406,20778,23110,23970,24202,7.7,6.8,6.4,5.9,7.7,9.5,13.5,12.8,10,9.5,0.3958,76400,123900,144600,17.5,23.3,21.7,391,414,566,1167,1305,26.3,32,37.5,32.34,79.86,10.59,31.08,6.94,30.73,48.41,63.58,33.7,18.12,1152,6.16,0.181109414,0.158462015,0.44832288,0.450694174,0.065744049,0.678866156,0.676766109,0,,,,,,,,,,
Elmore,21632,22709,17707,16407,19503,21039,19842,18868,17604,18822,2.3,2.2,2.2,1.9,2.1,2.4,4.5,4,4.3,3.2,0.41,128400,219600,234700,21.3,21.7,21.3,339,309,738,870,1167,19.2,41.4,28.3,28.35,61.25,6.01,29.8,8.48,28.98,47.09,39.15,36.7,21.68,849,11.78,0.477163778,0,0.760567221,0.685569199,0.307401127,0.783553753,0.65672716,0.732739421,,,,,,,,,,
Enosburg,21420,21889,23366,25578,25515,25860,26340,27071,28457,28794,8.2,7.2,5.7,7.6,7.7,8.4,11.3,10.7,9.7,8.2,0.4858,83100,148100,155000,20.4,24.6,21.1,813,794,457,630,658,21.3,26.2,24.2,30.25,107.25,11.33,28.05,14.38,30.74,50.52,48.57,36.9,57.41,2788,5.13,0.12685034,0.354477254,0.397872921,0.791653397,0.192326328,0.524788065,0.549758686,0,,,,,,,,,,
Essex,48796,49915,50408,51491,53191,54803,56367,57136,58217,55999,3.8,3,2.8,2.9,3,3.5,5.5,4.5,4.1,3.7,0.4179,141400,247400,264300,20.1,23,23.3,5753,6106,711,954,1034,24.6,29.4,31.5,18.85,95.35,2.6,27.9,8.16,36.52,49.85,39.01,36.5,477.48,18626,19.66,0.892272033,1,0.993046087,0.483037852,0.88277512,0.591729624,0.64557873,0.621380846,,,,,,,,,,
Fair Haven,21847,22757,23294,23760,24492,24792,24627,24573,25643,26481,6.4,5.8,4.1,3.4,3.8,5,9.2,8.8,9.3,7.9,0.8809,80400,146200,153500,19,23.2,25.1,766,659,501,685,819,26.2,32.8,36.1,19.8,103.83,15.16,26.57,14.24,30.36,51.59,17.64,37.3,165.95,2928,9.02,0.331770532,0.255743968,0.136760295,0.261704236,0.82523772,0.544026732,0,0,,,,,,,,,,
Fairfax,25971,27266,28804,29219,29604,29806,30995,33196,36206,36241,4.5,3.9,3.4,3.7,3.8,4.4,7,5.9,4.7,4.7,0.398,126500,218300,242600,22.9,23.5,23.8,1241,1371,655,924,978,25,29.7,32.8,28.34,73.15,4.73,30.93,5.84,39.89,45.97,40.18,33.9,87.77,3527,11.57,0.466101248,0.672361723,0.847832015,0.4210517,0.308006783,0.716612195,0.673661483,0.398663697,,,,,,,,,,
Fairfield,19815,21534,23071,22847,26294,26837,29070,30761,30829,32139,4.9,4,4.3,4.3,4.2,5.7,7.2,6.8,6.7,5.5,0.5413,99100,199700,201400,19.7,22.3,24.4,660,642,577,800,622,30.4,23.3,24.6,31.96,50,9.22,30.39,7.61,28.44,49.16,67.79,35.2,26.55,1800,9,0.330716957,0.497262745,0.54172348,0.56828503,0.088759009,0.84683884,0.471437442,0.220489978,,,,,,,,,,
Fairlee,22549,23309,24881,26006,25482,26355,26348,26991,27822,28951,2.7,2.4,2.1,2,2.5,2.8,5,5.4,4,3.7,0.2872,130000,222200,234000,20.8,22.7,23,305,288,570,842,955,19.9,25.3,22.8,21.74,100.31,5.58,23.58,15.41,30.92,48.86,20.2,40.8,47.86,967,13.65,0.575672971,0.361178994,0.789882738,0.700066056,0.707740294,0.563827932,0.830021732,0.621380846,,,,,,,,,,
Fayston,20770,20751,21176,24377,24464,28920,30879,32614,32102,32842,1.8,1.6,1.7,1.4,1.7,1.7,2,1.8,1.8,1.6,0.1895,149800,299000,319300,19.8,26,25.3,408,400,727,1038,1222,22.5,13.7,23.9,24.86,29.8,5.52,22.79,9.64,39,47.51,36.5,39.4,31.26,1141,28.75,1,0.527271175,0.793973275,0.525738113,0.518775362,0.960470729,0.967895346,0,,,,,,,,,,
Ferdinand,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.05,55000,117500,116700,16.3,,20,7,12,,,,,,,33.13,30.3,66.67,21.21,36.36,0,42.42,52.89,54.5,0.62,33,0,0,0,0,1,0.017897159,0.957658058,1,0,,,,,,,,,,
Ferrisburg,23444,22547,25425,26498,26578,27185,29063,29595,30609,33257,3.9,3.2,3.2,3.6,3.6,4.1,3.8,2.5,NULL,NULL,0.2667,140800,292300,281100,22.3,21.4,27.2,868,889,613,1256,907,20.1,29.7,31.4,24.97,47.05,5.42,24.92,11.33,37.56,49.82,47.82,39,55.56,2657,14.38,0.614128431,0.544985967,0.800790837,0.232061762,0.512113137,0.863433596,0.858951201,0,,,,,,,,,,
Fletcher,18869,20029,19764,18922,21685,21929,23401,25623,24444,25001,2.4,1.8,1.8,1.7,1.6,1.9,2.2,1.9,1.7,1.6,0.5247,114400,221000,223700,21.8,24.3,22.7,449,471,583,660,925,23.8,15.8,23.8,34.51,39.02,6.28,28.67,5.68,23.83,44.06,37.82,34.7,31.17,1179,9.41,0.352315229,0.192568325,0.742159804,0.696839945,0,0.908605084,0.494863255,1,,,,,,,,,,
Franklin,17742,17099,18672,20859,20260,20974,21846,24547,23971,23362,4.5,3.5,3.2,3.8,3.7,4.2,6.5,7,5.4,3.9,0.3508,96100,176300,169900,17.4,23.2,23.5,491,519,569,546,946,22.7,29.6,,28.89,72.56,5.52,29.57,11.12,26.34,47.18,38.63,36.4,32.83,1268,6.62,0.205341621,0.122605568,0.793973275,1,0.274695657,0.719931146,0.74026982,0.576837416,,,,,,,,,,
Georgia,31882,32835,34791,34887,34584,35706,38205,40589,40412,42478,7.1,5.6,3.5,1.8,2,2.1,2.1,1.9,1.9,1.6,0.2554,124800,231300,250500,21.1,24.5,23.7,1481,1429,713,905,1480,19.9,28,28.8,24.78,51.89,3.75,31.2,6.15,27.45,49.05,39.5,34.5,110.76,4375,8.85,0.32281515,0.938595836,0.914644123,0.518371728,0.523620617,0.836206945,0.874897688,1,,,,,,,,,,
Glastenbury,,,,,,,,,,,0,66.7,,0,0,0,0,,NULL,NULL,0,125000,,,,,,0,0,,,,,,,24.38,125,0,25,0,31.25,56.25,44.48,45.5,0.36,16,0,0,0,1,1,0.54784689,0.424938262,1,0,,,,,,,,,,
Glover,18024,18417,19485,20579,21912,21083,21622,22466,21561,22240,6.5,5.9,5.2,5.3,6.7,6.8,9.3,8.8,7.5,6.6,0.4676,82300,155400,151500,20.8,23.5,23.5,349,370,469,525,669,23.8,38.6,21.5,23.76,35.2,11.39,22.05,14.6,32.71,49.64,37.87,43.8,25.51,966,8.9,0.325449086,0.074711601,0.393782383,0.697117143,0.585397614,0.930093887,0.575442409,0,,,,,,,,,,
Goshen,15090,17235,16840,14855,22052,21929,23010,21404,19410,18386,2.6,2.6,2.6,1.7,2.6,3.5,6.1,5.4,2.4,2.6,0.8309,109600,190000,258900,23.3,29.1,24.3,64,61,517,982,1067,33.3,21.5,20.6,29.21,35.24,7.93,26.43,9.25,13.66,48.66,21.29,43.2,10.66,227,13.22,0.553021124,0,0.62967003,0.665605058,0.255314639,0.929868873,0.062755779,0.86636971,,,,,,,,,,
Grafton,26626,27468,28876,29353,29329,30589,31759,34368,32527,32942,5.8,5,3.6,3.6,3,4.2,6.5,5.5,5.3,3.6,0.5481,106500,218800,228000,18.7,23.7,25,195,216,442,946,1072,22.5,28,28.1,24.7,29.28,10.32,18.18,18.18,27.58,47.05,38.39,46,16.9,649,12.17,0.497708476,0.5315398,0.466730297,0.449850785,0.528465871,0.963395906,0.461841325,0.643652561,,,,,,,,,,
Granby,37875,38489,34477,35870,38755,46634,55446,57224,,72932,2.2,6.1,2.1,4.2,6.1,6.5,6.7,10.4,4.3,4.3,0.2532,76700,97500,87300,9.9,14.2,20.6,37,40,,,,,,,60.52,11.63,0,24.42,13.95,23.26,53.49,39.03,41.6,2.2,86,0,0,1,1,1,0,1,0.878002314,0.487750557,,,,,,,,,,
Grand Isle,24709,24776,26926,27747,29814,31101,33060,33957,34430,36522,4.9,4.1,3.9,3.7,3.9,4.3,7.6,6.5,5.7,5.1,0.2176,135600,224300,239700,23.3,26,24,773,769,562,775,748,22.9,29.5,31.7,32.9,39.9,4.14,25.32,10.38,34.83,44.26,16.51,39.9,118.42,1955,10.28,0.398145709,0.684356558,0.888055631,0.433041981,0.031827267,0.903654784,0.928240806,0.309576837,,,,,,,,,,
Granville,19813,20010,19396,18888,23949,26531,23196,26203,29868,30385,3.6,5.6,3.6,4,5.5,4.3,9.7,6.8,7.8,6.1,0.41,81800,149500,209500,20.2,23.6,21.9,121,110,608,629,912,25,50,26.6,22.41,52.81,12.87,24.42,11.55,30.36,50.5,52.22,37.8,5.8,303,8.91,0.325975873,0.42239107,0.292882465,0.685209432,0.667161286,0.831031631,0.65672716,0.086859688,,,,,,,,,,
Greensboro,18905,19587,20832,20952,20852,22353,24291,23403,24133,24781,5.6,5.2,4.3,4.2,4.6,5.2,8.3,9.7,8,6.9,0.4644,123800,175700,215500,16.6,19.3,27.1,260,264,345,655,642,31.3,29.7,28.1,26.56,80.52,6.62,21.95,20.52,27.66,52.8,37.77,44.2,20.39,770,12.47,0.51351209,0.183177351,0.718980093,0.313487149,0.4158137,0.675153431,0.579958229,0,,,,,,,,,,
Groton,27428,28269,28909,30983,31245,28427,29734,28859,29806,28721,6.2,5.7,5.4,6.2,6.1,6.4,9.8,10.1,10,8.8,0.384,85900,128800,137100,19.9,23.6,24.6,306,304,450,483,463,26.8,26.5,28.7,27.91,63.93,10.39,28.31,14.61,26.26,50.59,53.96,39.3,16.23,876,7.31,0.241689933,0.351361158,0.461958004,0.462200833,0.334050027,0.768477839,0.693418193,0,,,,,,,,,,
Guildhall,14960,22885,22938,22823,21723,24433,19727,19620,18216,20303,2.6,2.5,1.7,3.3,4,5,11.9,9,6.1,6.8,0.3973,90000,151100,168200,20.6,18.2,24.4,106,114,392,,913,14.2,,20.6,16.18,29.85,10.07,24.25,21.27,25,52.79,32.72,43,8.19,268,7.46,0.24959174,0,0.483774202,0.659111551,1,0.960189461,0.674649318,0,,,,,,,,,,
Guilford,23922,26530,29088,30860,33380,34394,32859,38506,34768,36445,2.4,2.2,4.8,8.7,7.6,7.7,6.1,6.1,4.9,4.3,0.6594,127300,207000,199500,20.3,21,22.1,651,655,624,760,806,19.8,26.2,24,23.15,65,6.79,26.05,9.58,26.25,50.15,39.89,40.1,51.3,2046,10.12,0.389717115,0.681069717,0.707390237,0.731259658,0.622342681,0.762458724,0.304775479,0.487750557,,,,,,,,,,
Halifax,19167,16681,17282,16666,19924,22157,23087,23007,23400,24637,2.8,2.7,3.2,3.4,2.5,3.3,4.6,4.3,4.8,4.2,0.5685,98800,161200,166100,23.9,24.7,24.1,334,323,555,856,921,19.1,27.5,,29.84,40.92,16.37,24.68,14.19,29.8,48.71,39.75,41.9,19.67,782,8.57,0.308065111,0.177030531,0.054267794,1,0.217158258,0.897916936,0.433052976,0.510022272,,,,,,,,,,
Hancock,19441,19718,19027,18369,20912,20962,20478,19225,17054,15890,5.2,10.6,6.4,6.2,8.4,9.9,15.9,10.9,6.7,5.5,0.77,87100,129200,133900,17.3,22.2,21.4,141,130,633,523,713,21.7,50,38.8,20.42,94.24,7.33,20.94,15.45,20.68,46.97,38.44,41.8,9.94,382,5.76,0.160037929,0,0.670575402,0.440656074,0.787686997,0.597973752,0.148697468,0.220489978,,,,,,,,,,
Hardwick,20672,21132,22074,24890,25570,25895,26809,27301,27966,30196,6.6,5.4,4.9,5.2,5.4,5.9,9.3,9,7.6,7.9,0.9923,77100,120700,119700,18.9,22.3,18.6,1001,954,437,684,742,26.7,41.5,41.1,27.11,128.54,13.8,29.46,11.94,35.98,51.5,38.53,35.9,82.38,3174,5.58,0.15055576,0.41432337,0.229479138,0.570249006,0.382502574,0.405024555,0,0,,,,,,,,,,
Hartford,32282,34072,35282,37343,38167,39696,42199,43823,43224,43346,2.4,2.2,2.1,2.1,2.5,2.8,4.3,4.2,4,3.4,0.7231,115200,222500,214400,21.4,22.9,23.6,3143,2851,576,971,924,26,36.7,32.5,19.31,105.63,8.43,23.38,14.63,36.31,51.45,45.15,40,229.99,10385,15.71,0.684191118,0.975647497,0.59558222,0.440850702,0.854914905,0.533901118,0.214882448,0.688195991,,,,,,,,,,
Hartland,29948,30260,30038,30519,31852,33280,33718,35223,33877,35642,2.4,2.3,2,1.8,2.2,2.7,4.4,4.6,3.6,3.3,0.36,130300,261700,275300,19.4,23.2,20.2,1154,1161,621,778,905,22.8,18.6,23.7,20.97,53.99,2.54,26.06,11.79,32.89,49.92,44.96,39.8,71.69,3223,11.08,0.440288679,0.646792662,0.997136624,0.86144827,0.754375871,0.824393729,0.727286839,0.710467706,,,,,,,,,,
Highgate,28631,29747,30977,32344,34391,35540,35775,36838,37240,38849,4.8,4,4,4.3,4.1,4.3,5.2,4.9,4.1,3.5,0.1835,93300,184500,186100,19.1,21.4,23.1,973,972,617,1048,963,23.3,31.2,31.9,27.3,81.84,9.95,29.38,8.89,30.94,47.21,51.14,34.4,66.42,3397,4.47,0.09208239,0.783687451,0.491955277,0.486942213,0.370995094,0.667727981,0.976362507,0.665924276,,,,,,,,,,
Hinesburg,28235,28432,29803,31830,32868,34490,36561,39166,38591,40977,4.4,3.3,3.1,3.6,3.3,3.8,6,5.3,4.8,4.5,0.4384,132000,237500,278900,23.7,22.4,21.3,1612,1541,658,883,1188,21.6,27.8,33.5,23.58,77.65,3.5,28.89,5.46,30.12,49.15,39.81,35.3,109.01,4340,14.75,0.633619554,0.874523782,0.931688028,0.567494721,0.596299437,0.69129816,0.616649262,0.443207127,,,,,,,,,,
Holland,15689,15461,16169,18630,20743,24130,25209,24968,25820,25372,4.1,3.7,5.9,8.5,7.3,8.5,5,5.4,3.1,3,0.5957,81500,158900,152200,19.7,27.9,19.7,234,224,471,600,683,21.3,43.3,33.3,22.49,49.32,14.29,32.14,9.01,39.63,50.5,37.59,35.3,15.64,588,4.08,0.071537692,0.208404922,0.196073084,0.675932151,0.662316032,0.850664072,0.394668511,0.777282851,,,,,,,,,,
Hubbardton,16633,19231,13803,12233,17066,15151,16769,18632,16412,17608,2.8,2.8,2.2,2,2.2,2.5,2.8,2.6,2.5,1.9,0.56,106100,173800,194700,20.2,25,20.2,228,246,600,623,738,30,18.2,19.6,31.12,50.53,12.63,22.74,10.51,33.51,47.89,27.52,39.7,27.33,752,8.64,0.311752621,0,0.309244614,0.954545455,0.139634183,0.843857409,0.445048122,1,,,,,,,,,,
Huntington,28170,27394,29803,33650,34712,37768,38740,31752,30730,29452,3.2,2.5,2.6,3.1,3.4,3.4,6.2,4.4,4.2,3.8,0.5144,117200,218000,239800,22,23.2,24,717,724,563,879,969,22.5,36.8,33.4,32.1,41.38,6.02,28.32,5.43,32.51,48.37,38.14,36.6,48.79,1861,16.66,0.734235895,0.382564803,0.759885465,0.394440709,0.080279813,0.895329279,0.509398549,0.599109131,,,,,,,,,,
Hyde Park,27317,27555,28351,30277,30508,33763,31661,33063,33914,34165,5,4.2,3.9,3.9,4.5,5.4,7.3,6.6,6.2,5.7,0.5884,100300,181500,185800,19.3,22.5,21.8,1074,1041,588,695,790,22.4,35.3,32.5,25.7,82.89,5.8,24.73,12.54,31.05,47.6,37.88,38.2,75.16,2847,13.07,0.545119317,0.583745078,0.774884101,0.557733819,0.467900188,0.661821373,0.404970224,0.175946548,,,,,,,,,,
Ira,18670,18469,17758,,20146,25417,32458,34706,51235,38247,16.8,11.9,8,2,2.4,3.6,3.8,2.6,3.4,3,0.3519,102500,174500,180800,21.7,22.7,21.9,155,164,456,708,735,21.3,26,25.8,22.82,30.77,10.55,29.45,8.35,24.84,54.42,21.32,37.6,21.34,455,11.43,0.458726229,0.757990332,0.451049905,0.703374736,0.642329356,0.955014148,0.738717507,0.777282851,,,,,,,,,,
Irasburg,23271,24066,25498,26244,26104,25750,26329,29018,29128,28652,6.4,4.9,4.1,5.6,5.9,6.2,8.6,8.9,7.8,7.2,0.4779,83000,155800,166700,17.9,20,20.3,309,362,440,648,675,17.5,25.6,23.6,16.6,54.78,9.1,28.32,11.33,27.39,50.27,40.53,36.7,26.57,1077,5.01,0.120528894,0.348415807,0.549904554,0.857225427,1,0.819949709,0.560907115,0,,,,,,,,,,
Isle La Motte,16857,19489,18514,17293,18524,20042,21400,22218,23225,23586,8.9,7.4,9.2,11.5,9.1,9.7,12.2,10.5,12.6,11.1,0.1835,100500,210900,237500,25.8,29.5,31.9,159,197,775,831,1071,20,39,26.4,39.33,38.93,9.63,25,17.21,34.43,48.84,7.96,41.5,61.29,488,9.43,0.353368804,0.132167287,0.513771475,0.040400109,0,0.909111365,0.976362507,0,,,,,,,,,,
Jamaica,20742,20223,22211,23147,25707,27316,29288,29427,28276,30057,3.1,3.4,3.8,3.6,4.5,4,5.8,5.7,6.7,5.8,0.3043,123600,243600,246000,26.1,23.6,27,329,326,571,947,956,23.5,29.1,38,22.15,45.45,10.15,22.3,13.21,36.89,47.33,49.35,38,19.17,946,12.9,0.536163936,0.408389982,0.478320153,0.095185015,0.682908364,0.872434141,0.805890322,0.153674833,,,,,,,,,,
Jay,17288,18431,18186,19875,20790,21233,20941,22261,24227,23324,13.1,10.7,6.9,4.3,4.9,5.1,6.3,5.8,5.2,5.8,0.2746,86500,155900,188900,18.5,22.1,23.1,134,174,481,655,794,32.2,16,23.8,27.87,51.64,12.91,27,9.39,28.17,46.33,33.92,38.8,12.56,426,10.33,0.400779645,0.120983491,0.29015544,0.670865919,0.336472655,0.83761328,0.847802772,0.153674833,,,,,,,,,,
Jericho,26873,27669,28606,29279,30407,32209,32077,33441,33136,34840,3.5,2.8,2.6,2.8,3,3.5,5.2,4.2,3.8,3.5,0.4514,145800,244500,261600,21.8,22.6,20.6,1622,1608,751,889,949,26,23.3,25.1,24.77,57.63,4.59,30.87,6.4,32.96,49.96,35.39,37.3,141.69,5015,19.88,0.90386135,0.612558293,0.857376602,0.803684962,0.524226273,0.803917487,0.598303745,0.665924276,,,,,,,,,,
Johnson,23409,26042,27434,29234,30415,31027,31377,33603,35728,35393,5.6,5,4.6,5,5.6,6,8.3,8.3,7,5.9,0.5575,84400,138600,155000,21.3,23.8,26.8,733,805,481,725,758,30.3,50,,22.88,177.76,16.37,21.56,8.46,44.04,48.51,45.08,26.2,72.62,3274,9.56,0.360217036,0.636163787,0.054267794,0.971023981,0.638695415,0.128145269,0.448576106,0.131403118,,,,,,,,,,
Killington,20340,21000,21816,22726,24921,23332,25106,22267,21666,22713,8,7.7,7,7.3,8.2,9.3,13.1,13.6,16.1,11.9,0.3223,195600,295000,294500,16.8,21.7,23.9,350,275,598,875,885,21.9,33.8,34.5,19.94,237.44,7.03,20.46,11.05,36.8,46.19,46.63,41.6,23.48,1095,25.75,1,0.094902195,0.691028088,0.375956922,0.816758525,0,0.780488837,0,,,,,,,,,,
Kirby,,,,,,,,,,,19.2,15.7,9.5,4.1,4.7,3.8,4.3,3.2,2.2,2.3,0.3809,95300,175000,198300,22.3,20,19.2,150,144,640,800,925,14,18.1,18.8,19.49,24.12,15.35,28.95,8.77,29.82,47.61,24.41,37.1,18.68,456,8.55,0.307011537,0,0.123806927,1,0.844013082,0.992422666,0.697792893,0.933184855,,,,,,,,,,
Landgrove,27553,29237,34352,29039,29344,32640,26808,25830,25174,28640,3.9,3.9,5.8,3.8,3.9,3.9,6.1,5.9,3.6,5.4,0.233,322700,434400,479500,18.8,31.1,30.1,63,77,725,708,725,12.5,24.4,30,24.27,48.61,11.11,23.61,13.19,27.08,50.7,9.12,45.3,15.79,144,33.33,1,0.347903572,0.412871557,0.075539356,0.554509115,0.854658064,0.906508425,0.242761693,,,,,,,,,,
Leicester,23037,23799,26113,25236,26122,31940,32027,32540,21870,22114,3.4,2.9,2.5,2,3,3.1,6.4,7,4.7,3.9,0.1845,91900,176700,184200,19,23.2,20.7,369,348,613,736,1053,27,31.9,39.3,27.1,77,12.01,24.85,10.47,37.06,46.48,21.28,38.7,45.77,974,9.96,0.381288521,0.069333134,0.351513499,0.474757304,0.383108231,0.694954632,0.974951314,0.576837416,,,,,,,,,,
Lemington,,,,,,,,,,,1.4,1.4,1.4,1.4,2.7,2.6,6.1,3.8,3.1,1.8,0.276,92200,114100,117500,16.4,17.9,16.8,37,39,430,,,19,,,23.81,0,1.87,22.43,27.1,37.38,44.95,35.26,52.3,3.03,107,19.63,0.890691671,0,1,1,0.58236933,1,0.845827101,1,,,,,,,,,,
Lewis,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.05,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,39.57,0,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,
