town,avg_an_wage2001,avg_an_wage2002,avg_an_wage2003,avg_an_wage2004,avg_an_wage2005,avg_an_wage2006,avg_an_wage2007,avg_an_wage2008,avg_an_wage2009,avg_an_wage2010,unemp_rate2003,unemp_rate2004,unemp_rate2005,unemp_rate2006,unemp_rate2007,unemp_rate2008,unemp_rate2009,unemp_rate2010,unemp_rate2011,unemp_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011,avg_commute_2000,total_crime_per_1000,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,popn2000,perc_bach_2000,EDUCATION,INCOME,POVERTY,HOUSING,COMMUTE,CRIME,TAXES,EMPLOYMENT,,,,,,,,,,
Barnet,23612,24781,24022,25225,26367,26921,27840,29080,29218,30719,4.4,3.6,3.8,3.1,3.6,4.3,5.5,4.8,5.7,5.4,0.4444,91200,158600,167000,20.7,22.1,21.1,564,584,553,708,950,25.6,33.9,32.5,26.74,44.97,11.89,26.75,14.02,33.61,49.1,42.39,40.4,39.87,1690,11.78,0.477163778,0.436648276,0.359694573,0.603188365,0.404911877,0.875134305,0.6081821,0.242761693,,,,,,,,,,
Barre City,26795,28012,28960,30199,30843,32038,33900,35518,35914,37625,8.2,6.9,5.7,5.4,5.6,6.5,11.4,10.9,9.4,8.6,1.4725,87900,141000,144000,21.1,22.9,26.6,2093,1994,473,643,725,26.3,29.4,29.9,18.41,310.62,12.65,22.41,18.14,24.38,54.36,4.02,38.3,"2,309.41",9291,9.42,0.352842017,0.731439487,0.307881102,0.305082746,0.90942402,0,0,0,,,,,,,,,,
Barre Town,31296,31034,29899,33338,34157,34063,34615,34545,35652,37472,3.4,2.9,2.8,2.9,3.1,3.4,4.5,4.1,4.1,3.6,0.8502,101200,174100,190200,19.1,22.2,22.3,2824,2869,500,785,939,25.4,26.5,26.7,20.39,84.71,5.2,25.61,13.89,30.57,49.77,30.64,39.7,248.1,7602,8.95,0.328083022,0.724908491,0.815789474,0.656964743,0.789503967,0.651583252,0.035519743,0.643652561,,,,,,,,,,
Barton,22480,23548,22883,24448,25301,26307,26641,27662,28402,30379,7.4,6.3,5.5,6.1,7.4,8.7,13.6,13,11.8,11.4,0.4739,76900,116600,119800,19.9,23.4,22.2,818,813,404,551,584,26.9,33.2,29.6,20.19,68.35,15.22,24.78,18.38,25.11,49.58,43.65,40.8,63.68,2780,6.15,0.180582627,0.422134953,0.132669757,0.597609021,0.801617104,0.743613832,0.56655189,0,,,,,,,,,,
Belvidere,21822,21559,22105,,,,31410,34649,32189,34319,8.5,5.7,6.2,4.5,5.1,9.2,8.9,11.2,7.3,6.9,0.2126,87100,144100,161100,13.5,24.9,25.8,143,134,625,950,988,33.8,27.5,41.7,38.1,122.45,9.18,27.89,11.56,28.91,49.32,32.14,35.2,9.15,294,7.82,0.268556076,0.59031876,0.544450504,0.08909256,0,0.439282882,0.935296774,0,,,,,,,,,,
Bennington,27263,28316,29320,30569,31236,32011,33494,34778,35762,36552,5.9,4.4,3.6,3,3.5,4.1,9.2,7.9,7.5,6.7,0.7826,94900,155400,162300,19.9,22.6,22.6,3895,3748,518,678,745,29.8,32.3,35.7,16.24,157.72,13.61,23.5,17.77,26.82,53.81,42.43,37.9,370.88,15737,9.25,0.343886635,0.685637146,0.242432506,0.43312455,1,0.240877103,0.130916429,0,,,,,,,,,,
Benson,21415,20856,19871,20544,22907,24009,26653,25223,27482,28716,3.5,2.8,2.4,2.6,2.4,3.2,6.8,6.5,5.9,4.7,0.6215,86100,162500,150000,23.8,19.3,21.2,339,352,496,710,806,22.5,29.9,36.4,30.5,53.9,11.55,28.3,11.74,40.62,48.89,43.96,35.5,23.64,1039,9.62,0.363377759,0.351147726,0.382874284,0.508139,0.177184907,0.82490001,0.358259716,0.398663697,,,,,,,,,,
Berkshire,19455,18647,19909,20276,22774,23819,26787,27293,26769,26363,2.7,2.3,2.1,2.3,2.4,2.8,3.2,3,3.1,2.9,0.4264,93300,153800,181000,18.7,20.6,21.1,398,446,481,644,638,35.6,30.6,38.1,26.03,76.37,13.62,28.39,9.08,31.63,45.24,42.2,36.1,32.89,1388,4.54,0.095769899,0.250706991,0.24175075,0.476031235,0.447913512,0.698498596,0.633583585,0.799554566,,,,,,,,,,
Berlin,27976,29095,30611,31957,33084,34603,35960,39248,39093,39897,2.5,2.2,5.3,9.9,9.3,10.3,6.6,5.3,5,3.8,0.4271,95000,167400,191900,19,21.8,23.3,844,1006,504,928,1074,24.3,26.4,24.7,21.23,241.62,6.67,23.5,16.9,31.77,51.89,36.47,40.7,78.53,2864,8,0.278038245,0.828422637,0.715571312,0.637442939,0.738628793,0,0.632595749,0.599109131,,,,,,,,,,
Bethel,30337,30685,30745,32445,31681,34354,36249,38705,35734,36289,5.7,4.8,3.5,3.9,4.5,5.7,9.9,8.4,7.5,6.4,0.69,94300,181600,191600,21.3,22.2,24.5,869,823,492,818,767,26.9,25.9,24.9,23.48,77.24,10.52,24.7,12.96,33.23,50.73,45.3,39,43.44,1968,12.5,0.515092451,0.674410663,0.453095173,0.554979535,0.602356005,0.69360455,0.261592955,0.020044543,,,,,,,,,,
