town,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,2000_population,perc_bach_2000,avg_commute_2000,total_crime_per_1000,avg_wage2000,avg_wage2001,avg_wage2002,avg_wage2003,avg_wage2004,avg_wage2005,avg_wage2006,avg_wage2007,avg_wage2008,avg_wage2009,avg_wage2010,unemployment_rate2002,unemployment_rate2003,unemployment_rate2004,unemployment_rate2005,unemployment_rate2006,unemployment_rate2007,unemployment_rate2008,unemployment_rate2009,unemployment_rate2010,unemployment_rate2011,unemployment_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent1980,med_gross_rent1990,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1989,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011
DUXBURY,4.97,24.2,9.08,32.66,45.86,42.92,38.4,30.04,1289,16.21,24.61,44.22,23733,23071,21716,21932,24434,23789,23944,24353,23967,25570,26104,4.8,6.7,5.6,5.6,5.9,6.6,6.6,10.1,8.7,6.7,8.2,0.3177,110000,215000,218500,21.5,20.7,19.2,496,504,242,463,550,963,1073,22,19.4,21.7,19.6
EAST HAVEN,17.94,24.92,10.96,24.92,50.16,37.41,37.1,8.05,301,6.64,29.16,36.54,25887,26626,27468,28876,29353,29329,30589,31759,34368,32527,32942,4.9,5.8,5,3.6,3.6,3,4.2,6.5,5.5,5.3,3.6,0.6065,58400,96400,98700,17.1,21.4,22.3,100,120,,325,625,,1275,10,45,,47.5
EAST MONTPELIER,3.61,24.32,10.98,32.85,49.04,31.99,40.8,80.58,2578,18.31,18.62,43.06,,,,,,,,,,,,1.8,1.7,2.5,3.3,9,9.1,6.3,4.2,4.1,1.6,1.6,0.503,121800,211400,227200,18,18.3,19.9,845,900,222,437,647,1058,1126,25,22.9,25.9,28.2
EDEN,10.59,31.08,6.94,30.73,48.41,63.58,33.7,18.12,1152,6.16,32.34,79.86,11194,12661,13885,14608,18345,19770,19014,19614,21624,21088,21213,7.9,7.6,8.2,7.4,7.5,10.8,10.5,13.6,14.3,9.5,7.4,0.3958,76400,123900,144600,17.5,23.3,21.7,391,414,211,333,566,1167,1305,22.5,26.3,32,37.5
ELMORE,6.01,29.8,8.48,28.98,47.09,39.15,36.7,21.68,849,11.78,28.35,61.25,21910,21813,22744,23573,25934,24980,26006,27429,27562,27454,26781,4.5,5,4.3,4.1,4.1,4.6,5.1,8.2,8.1,8.9,6.9,0.41,128400,219600,234700,21.3,21.7,21.3,339,309,160,331,738,870,1167,35.1,19.2,41.4,28.3
ENOSBURGH,11.33,28.05,14.38,30.74,50.52,48.57,36.9,57.41,2788,5.13,30.25,107.25,24356,28235,28432,29803,31830,32868,34490,36561,39166,38591,40977,3.8,4.4,3.3,3.1,3.6,3.3,3.8,6,5.3,4.8,4.5,0.4858,83100,148100,155000,20.4,24.6,21.1,813,794,163,364,457,630,658,27.5,21.3,26.2,24.2
ESSEX,2.6,27.9,8.16,36.52,49.85,39.01,36.5,477.48,18626,19.66,18.85,95.35,31227,30720,31755,33955,34729,33293,35584,34930,38610,41704,39190,2.7,2.9,2.7,2.6,1.8,2.1,2.5,3.8,3.8,3.5,2.6,0.4179,141400,247400,264300,20.1,23,23.3,5753,6106,289,569,711,954,1034,23.9,24.6,29.4,31.5
FAIR HAVEN,15.16,26.57,14.24,30.36,51.59,17.64,37.3,165.95,2928,9.02,19.8,103.83,18529,19180,19033,18482,19328,20568,23544,26581,26904,26958,30146,11.7,13.8,12,7.5,3.3,3.6,3.3,5.2,4.4,3.9,3.7,0.8809,80400,146200,153500,19,23.2,25.1,766,659,221,406,501,685,819,26.5,26.2,32.8,36.1
FAIRFAX,4.73,30.93,5.84,39.89,45.97,40.18,33.9,87.77,3527,11.57,28.34,73.15,15799,15689,15461,16169,18630,20743,24130,25209,24968,25820,25372,3.4,4.1,3.7,5.9,8.5,7.3,8.5,5,5.4,3.1,3,0.398,126500,218300,242600,22.9,23.5,23.8,1241,1371,228,473,655,924,978,28.7,25,29.7,32.8
FAIRFIELD,9.22,30.39,7.61,28.44,49.16,67.79,35.2,26.55,1800,9,31.96,50,14759,16633,19231,13803,12233,17066,15151,16769,18632,16412,17608,2.3,2.8,2.8,2.2,2,2.2,2.5,2.8,2.6,2.5,1.9,0.5413,99100,199700,201400,19.7,22.3,24.4,660,642,214,430,577,800,622,25,30.4,23.3,24.6
FAIRLEE,5.58,23.58,15.41,30.92,48.86,20.2,40.8,47.86,967,13.65,21.74,100.31,19710,23695,26369,22049,23100,24519,27684,28466,31281,30860,32704,1.9,2,1.8,1.8,1.8,1.9,2.1,2.3,2.2,2.2,2,0.2872,130000,222200,234000,20.8,22.7,23,305,288,232,450,570,842,955,26.1,19.9,25.3,22.8
FAYSTON,5.52,22.79,9.64,39,47.51,36.5,39.4,31.26,1141,28.75,24.86,29.8,22186,24499,26514,25843,27827,27732,29153,28938,28773,30021,32086,3.8,4.2,3.5,3.6,3.4,3.6,4.2,7.3,6.2,5.5,4.8,0.1895,149800,299000,319300,19.8,26,25.3,408,400,307,505,727,1038,1222,26.2,22.5,13.7,23.9
FERDINAND,66.67,21.21,36.36,0,42.42,52.89,54.5,0.62,33,0,33.13,30.3,33568,37875,38489,34477,35870,38755,46634,55446,57224,,72932,6.1,2.2,6.1,2.1,4.2,6.1,6.5,6.7,10.4,4.3,4.3,0.05,55000,117500,116700,16.3,,20,7,12,,,,,,,,,
FERRISBURGH,5.42,24.92,11.33,37.56,49.82,47.82,39,55.56,2657,14.38,24.97,47.05,28980,31831,30971,32290,32308,32110,34312,36071,38795,38934,41598,4.5,5.5,3.7,3.5,2.9,3.7,4.8,8.7,7.7,7.5,7,0.2667,140800,292300,281100,22.3,21.4,27.2,868,889,247,454,613,1256,907,24.1,20.1,29.7,31.4
FLETCHER,6.28,28.67,5.68,23.83,44.06,37.82,34.7,31.17,1179,9.41,34.51,39.02,27351,28170,27394,29803,33650,34712,37768,38740,31752,30730,29452,3.2,3.2,2.5,2.6,3.1,3.4,3.4,6.2,4.4,4.2,3.8,0.5247,114400,221000,223700,21.8,24.3,22.7,449,471,225,421,583,660,925,29.6,23.8,15.8,23.8
FRANKLIN,5.52,29.57,11.12,26.34,47.18,38.63,36.4,32.83,1268,6.62,28.89,72.56,25237,27317,27555,28351,30277,30508,33763,31661,33063,33914,34165,4.3,5,4.2,3.9,3.9,4.5,5.4,7.3,6.6,6.2,5.7,0.3508,96100,176300,169900,17.4,23.2,23.5,491,519,188,408,569,546,946,24,22.7,29.6,
GEORGIA,3.75,31.2,6.15,27.45,49.05,39.5,34.5,110.76,4375,8.85,24.78,51.89,18665,18670,18469,17758,,20146,25417,32458,34706,51235,38247,9.6,16.8,11.9,8,2,2.4,3.6,3.8,2.6,3.4,3,0.2554,124800,231300,250500,21.1,24.5,23.7,1481,1429,305,508,713,905,1480,25.4,19.9,28,28.8
GLASTENBURY,0,25,0,31.25,56.25,44.48,45.5,0.36,16,0,24.38,125,30578,31889,34170,35462,34335,34189,35013,35313,36602,36621,37444,4,4.8,3.8,3.3,2.9,3.4,3.7,6.8,6.1,5.2,5.2,0,125000,,,,,,0,0,,,,,,,,,
GLOVER,11.39,22.05,14.6,32.71,49.64,37.87,43.8,25.51,966,8.9,23.76,35.2,16527,18452,19139,17896,20370,21209,21185,24066,23716,25004,25003,3,3.3,2.5,2,1.7,2.5,2.2,5.1,5.1,2.6,3.8,0.4676,82300,155400,151500,20.8,23.5,23.5,349,370,225,363,469,525,669,28.2,23.8,38.6,21.5
GOSHEN,7.93,26.43,9.25,13.66,48.66,21.29,43.2,10.66,227,13.22,29.21,35.24,,,,,,,,,,,,2,3,2,2.5,3.5,3.5,3.5,6.3,4.8,6.2,4,0.8309,109600,190000,258900,23.3,29.1,24.3,64,61,165,350,517,982,1067,16.7,33.3,21.5,20.6
GRAFTON,10.32,18.18,18.18,27.58,47.05,38.39,46,16.9,649,12.17,24.7,29.28,19887,21691,20435,20244,21712,21757,24217,28755,29439,27675,28651,2.7,2.9,2.7,2.4,2.6,3.1,3.4,5.8,5.5,5.3,4,0.5481,106500,218800,228000,18.7,23.7,25,195,216,235,429,442,946,1072,23.7,22.5,28,28.1
GRANBY,0,24.42,13.95,23.26,53.49,39.03,41.6,2.2,86,0,60.52,11.63,23874,24709,24776,26926,27747,29814,31101,33060,33957,34430,36522,4.2,4.9,4.1,3.9,3.7,3.9,4.3,7.6,6.5,5.7,5.1,0.2532,76700,97500,87300,9.9,14.2,20.6,37,40,,,,,,,,,
GRAND ISLE,4.14,25.32,10.38,34.83,44.26,16.51,39.9,118.42,1955,10.28,32.9,39.9,27752,27553,29237,34352,29039,29344,32640,26808,25830,25174,28640,2,3.9,3.9,5.8,3.8,3.9,3.9,6.1,5.9,3.6,5.4,0.2176,135600,224300,239700,23.3,26,24,773,769,266,541,562,775,748,24.3,22.9,29.5,31.7
GRANVILLE,12.87,24.42,11.55,30.36,50.5,52.22,37.8,5.8,303,8.91,22.41,52.81,,,,,,,,,24490,18627,36659,0,0,11.8,12.5,0,6.3,0,0,0,0,0,0.41,81800,149500,209500,20.2,23.6,21.9,121,110,185,313,608,629,912,13.2,25,50,26.6
GREENSBORO,6.62,21.95,20.52,27.66,52.8,37.77,44.2,20.39,770,12.47,26.56,80.52,22567,22754,23076,24442,24556,25472,28268,29971,30916,31893,31148,2.7,3.1,2.5,2.8,2.8,3.1,3.9,7.6,6.7,6.5,5.2,0.4644,123800,175700,215500,16.6,19.3,27.1,260,264,199,275,345,655,642,17.3,31.3,29.7,28.1
GROTON,10.39,28.31,14.61,26.26,50.59,53.96,39.3,16.23,876,7.31,27.91,63.93,23651,24563,25740,27264,28792,28249,24969,26308,27688,27583,28102,4.8,5.6,5.6,4.4,4,4.4,5.6,9.2,6.8,7.3,6.3,0.384,85900,128800,137100,19.9,23.6,24.6,306,304,176,395,450,483,463,35.1,26.8,26.5,28.7
GUILDHALL,10.07,24.25,21.27,25,52.79,32.72,43,8.19,268,7.46,16.18,29.85,19377,19813,20010,19396,18888,23949,26531,23196,26203,29868,30385,3,3.6,5.6,3.6,4,5.5,4.3,9.7,6.8,7.8,6.1,0.3973,90000,151100,168200,20.6,18.2,24.4,106,114,285,400,392,,913,22.5,14.2,,20.6
GUILFORD,6.79,26.05,9.58,26.25,50.15,39.89,40.1,51.3,2046,10.12,23.15,65,,,,,15083,,,,,,,14.5,11.8,3.2,4.8,6.3,4.8,4.8,8.1,5,2.7,2.8,0.6594,127300,207000,199500,20.3,21,22.1,651,655,262,572,624,760,806,19.3,19.8,26.2,24
HALIFAX,16.37,24.68,14.19,29.8,48.71,39.75,41.9,19.67,782,8.57,29.84,40.92,26023,27215,27890,28555,28990,30816,31003,32283,32844,33988,34659,4.1,4.6,3.6,3.3,4.2,4,4.4,8.1,7.3,6.2,5.7,0.5685,98800,161200,166100,23.9,24.7,24.1,334,323,215,421,555,856,921,22.5,19.1,27.5,
HANCOCK,7.33,20.94,15.45,20.68,46.97,38.44,41.8,9.94,382,5.76,20.42,94.24,,,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.77,87100,129200,133900,17.3,22.2,21.4,141,130,206,369,633,523,713,23.8,21.7,50,38.8
HARDWICK,13.8,29.46,11.94,35.98,51.5,38.53,35.9,82.38,3174,5.58,27.11,128.54,15848,17949,18597,20195,22378,21438,24779,26028,25454,25676,27270,7.7,6.6,5.3,6,6.3,7,7.4,10.3,9.8,NULL,NULL,0.9923,77100,120700,119700,18.9,22.3,18.6,1001,954,164,363,437,684,742,27.2,26.7,41.5,41.1
HARTFORD,8.43,23.38,14.63,36.31,51.45,45.15,40,229.99,10385,15.71,19.31,105.63,15953,20620,24775,26663,29751,28385,30095,30128,30964,31567,31625,1.7,2.2,1.7,4.3,8.4,7.3,8.2,4.9,4.9,3.4,3.4,0.7231,115200,222500,214400,21.4,22.9,23.6,3143,2851,235,504,576,971,924,26.4,26,36.7,32.5
HARTLAND,2.54,26.06,11.79,32.89,49.92,44.96,39.8,71.69,3223,11.08,20.97,53.99,11634,15044,12062,15028,14338,16049,17488,19256,19461,22393,20567,2.9,3.1,2.5,6.1,14.2,12.7,14.2,11.1,7.7,2.8,2.1,0.36,130300,261700,275300,19.4,23.2,20.2,1154,1161,271,503,621,778,905,20,22.8,18.6,23.7
HIGHGATE,9.95,29.38,8.89,30.94,47.21,51.14,34.4,66.42,3397,4.47,27.3,81.84,21600,23271,24066,25498,26244,26104,25750,26329,29018,29128,28652,5.6,6.4,4.9,4.1,5.6,5.9,6.2,8.6,8.9,7.8,7.2,0.1835,93300,184500,186100,19.1,21.4,23.1,973,972,238,420,617,1048,963,23.5,23.3,31.2,31.9
HINESBURG,3.5,28.89,5.46,30.12,49.15,39.81,35.3,109.01,4340,14.75,23.58,77.65,13744,14538,13784,14401,12859,13618,13773,16334,15767,16290,20351,8.9,7.5,4.9,4.3,5.5,5,7.5,11.6,12.8,10.3,9.2,0.4384,132000,237500,278900,23.7,22.4,21.3,1612,1541,282,566,658,883,1188,20.7,21.6,27.8,33.5
HOLLAND,14.29,32.14,9.01,39.63,50.5,37.59,35.3,15.64,588,4.08,22.49,49.32,19347,23034,23444,21068,19617,21426,21673,24057,29391,31248,26662,2,2.5,2.2,1.9,1.9,2.5,2.7,4.2,3.9,3.2,3.8,0.5957,81500,158900,152200,19.7,27.9,19.7,234,224,185,400,471,600,683,27.5,21.3,43.3,33.3
HUBBARDTON,12.63,22.74,10.51,33.51,47.89,27.52,39.7,27.33,752,8.64,31.12,50.53,26090,27539,27349,26222,26683,29207,31385,31058,32652,31717,33027,3.9,5,4.7,4.3,3.4,5.3,5,8.3,6.9,6.4,4.7,0.56,106100,173800,194700,20.2,25,20.2,228,246,160,503,600,623,738,28.2,30,18.2,19.6
HUNTINGTON,6.02,28.32,5.43,32.51,48.37,38.14,36.6,48.79,1861,16.66,32.1,41.38,26688,27967,28061,30168,31110,33484,34039,35194,35230,35255,36497,2.8,3,2.7,2.6,2.7,2.6,3.2,4,3.9,4.1,3.2,0.5144,117200,218000,239800,22,23.2,24,717,724,288,530,563,879,969,24.2,22.5,36.8,33.4
HYDE PARK,5.8,24.73,12.54,31.05,47.6,37.88,38.2,75.16,2847,13.07,25.7,82.89,29714,31763,22994,24245,28542,34244,35000,29859,23783,19093,25420,5.1,3.6,3.6,2.8,3.2,6.1,6.1,7.7,7.4,6.3,5.3,0.5884,100300,181500,185800,19.3,22.5,21.8,1074,1041,261,443,588,695,790,30,22.4,35.3,32.5
IRA,10.55,29.45,8.35,24.84,54.42,21.32,37.6,21.34,455,11.43,22.82,30.77,25649,25881,26419,27520,30925,31613,32961,34471,35972,35932,37111,3.7,4.9,3.8,3.4,3.9,3.9,4.9,7.8,6.8,6.1,5.4,0.3519,102500,174500,180800,21.7,22.7,21.9,155,164,206,421,456,708,735,17.3,21.3,26,25.8
IRASBURG,9.1,28.32,11.33,27.39,50.27,40.53,36.7,26.57,1077,5.01,16.6,54.78,16590,18135,18138,19054,19925,19998,22008,24443,23869,24296,25093,3.3,3.6,3.3,2.9,3.2,4.6,3.6,5.2,6.8,6.2,5.1,0.4779,83000,155800,166700,17.9,20,20.3,309,362,211,318,440,648,675,18.3,17.5,25.6,23.6
ISLE LA MOTTE,9.63,25,17.21,34.43,48.84,7.96,41.5,61.29,488,9.43,39.33,38.93,18060,23037,23799,26113,25236,26122,31940,32027,32540,21870,22114,3.4,3.4,2.9,2.5,2,3,3.1,6.4,7,4.7,3.9,0.1835,100500,210900,237500,25.8,29.5,31.9,159,197,,375,775,831,1071,25,20,39,26.4
JAMAICA,10.15,22.3,13.21,36.89,47.33,49.35,38,19.17,946,12.9,22.15,45.45,18253,22460,22841,24621,26922,28813,33016,30322,23954,26510,28719,3.4,4.1,3.4,2.3,1.6,1.8,2.1,2.4,2.1,2,1.9,0.3043,123600,243600,246000,26.1,23.6,27,329,326,225,495,571,947,956,25.4,23.5,29.1,38
JAY,12.91,27,9.39,28.17,46.33,33.92,38.8,12.56,426,10.33,27.87,51.64,24780,27385,26953,32483,29581,31916,53249,57857,35778,63981,46882,5.7,7.1,5.5,5.5,6.7,7.7,8.1,21.3,19.2,12.2,9.1,0.2746,86500,155900,188900,18.5,22.1,23.1,134,174,200,378,481,655,794,22.5,32.2,16,23.8
JERICHO,4.59,30.87,6.4,32.96,49.96,35.39,37.3,141.69,5015,19.88,24.77,57.63,15160,16802,18622,19578,19066,19210,19406,20778,23110,23970,24202,5.8,7.7,6.8,6.4,5.9,7.7,9.5,13.5,12.8,10,9.5,0.4514,145800,244500,261600,21.8,22.6,20.6,1622,1608,306,495,751,889,949,29.1,26,23.3,25.1
JOHNSON,16.37,21.56,8.46,44.04,48.51,45.08,26.2,72.62,3274,9.56,22.88,177.76,25032,25401,26517,26845,28013,28371,29640,30706,32201,31938,32370,4.1,4.2,3.1,2.9,2.8,3.7,4.3,9.3,7.6,7.6,7.5,0.5575,84400,138600,155000,21.3,23.8,26.8,733,805,210,397,481,725,758,34.6,30.3,50,
KILLINGTON,7.03,20.46,11.05,36.8,46.19,46.63,41.6,23.48,1095,25.75,19.94,237.44,17049,17466,18128,19524,22095,24845,26779,28706,29814,26909,25919,6.1,6.2,6,4.4,5.5,4.9,7.4,8.1,9.9,6,6.3,0.3223,195600,295000,294500,16.8,21.7,23.9,350,275,282,418,598,875,885,25.7,21.9,33.8,34.5
KIRBY,15.35,28.95,8.77,29.82,47.61,24.41,37.1,18.68,456,8.55,19.49,24.12,29477,31106,33807,33532,35270,37433,40426,45056,45962,43134,44167,2.6,3.1,2.4,2.4,2.3,2.4,3,4.5,4,3.4,2.9,0.3809,95300,175000,198300,22.3,20,19.2,150,144,185,383,640,800,925,21.7,14,18.1,18.8
LANDGROVE,11.11,23.61,13.19,27.08,50.7,9.12,45.3,15.79,144,33.33,24.27,48.61,25702,23194,25183,25866,25504,27223,30158,29868,30753,31792,30441,4.2,5.1,4.3,4.3,3.3,4,4.4,6.9,8.6,8.5,5.9,0.233,322700,434400,479500,18.8,31.1,30.1,63,77,90,469,725,708,725,29.4,12.5,24.4,30
LEICESTER,12.01,24.85,10.47,37.06,46.48,21.28,38.7,45.77,974,9.96,27.1,77,16092,17933,17414,18511,18144,20572,21867,22584,22297,22801,22422,4.1,4.1,3.1,3.6,3.5,3.4,4,6.4,4.4,3.9,3.8,0.1845,91900,176700,184200,19,23.2,20.7,369,348,236,585,613,736,1053,24.7,27,31.9,39.3
LEMINGTON,1.87,22.43,27.1,37.38,44.95,35.26,52.3,3.03,107,19.63,23.81,0,18404,18905,19587,20832,20952,20852,22353,24291,23403,24133,24781,6.4,5.6,5.2,4.3,4.2,4.6,5.2,8.3,9.7,8,6.9,0.276,92200,114100,117500,16.4,17.9,16.8,37,39,,475,430,,,10,19,,
LEWIS,0,0,0,0,0,39.57,0,0,0,0,,0,26108,27428,28269,28909,30983,31245,28427,29734,28859,29806,28721,6.2,6.2,5.7,5.4,6.2,6.1,6.4,9.8,10.1,10,8.8,0.05,,,,,,,0,0,,,,,,,,,
LINCOLN,5.93,27.1,10.79,27.27,48.2,43.99,39,27.6,1214,15.98,30.46,35.42,,,,,,,,,,,,2.9,1.8,2.3,2.3,2.3,1.7,1.7,5,3.5,3.7,7.3,0.6245,113000,222400,237500,21.5,22.9,22.7,401,390,185,457,544,839,879,34.3,21.6,28.1,27.8
LONDONDERRY,6.32,21.88,16.56,30.6,47.98,35.67,41.5,47.92,1709,15.51,21.13,65.54,21804,22395,22057,24989,24872,25623,26898,29667,29528,29403,30335,2.8,2.9,2.4,2.3,3.3,3.6,4.6,7.5,6.1,5.9,5.4,0.251,133800,223100,228500,20.6,25.4,24.2,619,605,249,442,583,900,914,24.2,24.8,28.2,22.5
LOWELL,17.34,29.4,10.98,28.18,48.53,56.01,35.4,13.18,738,5.56,34.49,42.01,29239,29765,31833,34151,35998,36791,38257,37484,42618,40945,40572,3.7,4.7,3.6,3.1,3.2,3.8,4.7,6,4.9,4.7,4,0.5136,66400,113700,135800,18.2,21,24.4,276,301,143,418,508,609,645,24.2,46,32,14.4
LUDLOW,7.39,20.99,18.66,32.87,48.77,35.27,43.2,69.44,2449,11.11,17.62,147.82,20067,24583,27437,30244,29265,27413,28378,30088,30374,27111,27382,4.1,4.4,3.1,3.8,4.9,5.8,7.7,11.2,10.4,10.9,7.4,0.2297,120600,243800,248900,18.9,26.3,21.9,860,651,217,438,520,671,684,28.3,26.4,29,29.7
LUNENBURG,12.78,26.62,14.52,28.82,49.17,45.08,37.3,29.17,1315,3.95,24.56,73,11585,14960,22885,22938,22823,21723,24433,19727,19620,18216,20303,4.8,2.6,2.5,1.7,3.3,4,5,11.9,9,6.1,6.8,0.7006,65100,115900,111300,18.9,22.5,26.7,467,483,191,352,461,631,684,27.3,21.2,33.3,33.5
LYNDON,10.96,23.05,13.75,37.59,49.55,39.76,35.1,137.02,5448,10.92,18.08,48.27,22068,22826,22322,23672,23373,24178,25991,27708,27023,27468,28147,4.1,4.3,3.8,3.8,3.9,4.2,5.2,7.7,7.6,7.1,6.4,0.6506,85500,130900,146700,19,21.2,21.3,1328,1376,198,349,423,615,690,25.9,23.7,27.4,31.7
MAIDSTONE,7.62,14.29,11.43,36.19,43.27,30.48,46.3,3.45,105,18.1,31.09,38.1,22462,23922,26530,29088,30860,33380,34394,32859,38506,34768,36445,2.1,2.4,2.2,4.8,8.7,7.6,7.7,6.1,6.1,4.9,4.3,0.2171,85000,189300,220000,39.2,15.7,19.5,56,68,,375,425,,513,10,27.5,,
MANCHESTER,4.49,23.11,19.07,37.93,51.78,42.23,44,99.07,4184,18.81,14.82,123.8,19691,22859,23837,22844,25203,27068,26748,28281,27506,27669,29405,3.5,3.9,3.5,3.8,3.9,4.1,5.2,6.9,6.8,5.5,5.8,0.171,175500,348100,341700,23.2,24.3,24.9,1397,1562,228,477,613,702,704,26.9,23,28.4,36
MARLBORO,3.07,19.02,10.02,38.75,50.87,40.33,36.7,24.25,978,16.56,23.5,61.35,18742,20348,21706,23226,23581,23304,26029,26612,27666,27394,25869,1.7,1.4,1.4,2.3,2,2,2,2.1,1.7,2,1.8,0.3103,150000,257100,266100,18.7,22.7,26.1,296,302,257,567,536,686,1100,20.8,21.8,29.1,39.4
MARSHFIELD,9.02,27.94,8.96,28.54,47.01,43.11,37.9,34.7,1496,12.43,27.03,62.17,31216,30127,29676,26190,29029,30531,29770,29461,32267,34996,33169,3.6,4.1,4.2,3.6,3,3.9,5.2,8.3,7,5.2,4.1,0.632,92100,179200,188000,17.1,19,21.2,598,630,174,406,546,688,678,30.2,29.2,27.8,48.5
MENDON,4.67,23.25,13.72,29.86,47.38,38.09,41.5,26.99,1028,16.25,19.91,83.66,31346,31299,32565,33299,33991,35405,37369,38629,40901,42291,41678,2.4,2.8,3.1,2.5,2.5,3.4,3.2,5.7,5.6,5.1,4,0.4292,149500,258800,290900,19.4,21.4,23.4,370,348,282,579,704,1018,1033,20.7,19.8,24.8,30.5
MIDDLEBURY,6.95,17.49,13.3,41.59,52.41,39.03,26.6,209.66,8183,11.28,15.06,131.86,25818,28012,27665,28297,27030,27370,29847,33299,34382,32714,32054,1.9,2.1,2.2,2,1.9,2.1,2.3,3.1,3.6,2.5,2.3,0.8124,120200,194800,219600,20.6,21.9,23.4,1698,1681,236,491,537,758,797,30.6,25,31.7,31.1
MIDDLESEX,6.19,26.55,6.82,30.54,49.33,39.66,38.6,43.6,1729,17.12,23.66,38.17,20358,22465,23493,23948,25552,26641,27716,29178,31075,31091,30706,2.7,3.3,2.8,2.5,2.8,3,3,5.4,5.3,4.8,4.2,0.41,116600,229800,239200,18.9,21.7,20.1,680,668,214,469,583,1336,950,18.6,19.6,30.4,23.8
MIDDLETOWN SPRINGS,11.91,24.91,12.27,28.55,52.25,22.84,40.6,36.03,823,13.97,30.58,30.38,20551,20812,22379,21937,22855,21740,24432,23261,29176,30046,34854,3,3.8,3.3,3.8,3.2,3.8,4.6,6.1,5.7,3.6,3.4,0.594,117600,201200,206100,20,21.3,22.7,299,257,183,394,644,646,650,23.6,28.4,29.6,38.1
MILTON,5.1,28.71,5.81,30.34,47.63,51.46,34.5,184.19,9479,10.17,25.32,134.09,14412,21632,22709,17707,16407,19503,21039,19842,18868,17604,18822,2.4,2.3,2.2,2.2,1.9,2.1,2.4,4.5,4,4.3,3.2,0.3896,120500,222400,242200,21.6,23.4,24.4,3082,3184,265,541,656,1094,1024,28.6,25.7,33.1,32.9
MONKTON,3.64,28.54,6.14,27.8,46.64,36.02,37,48.83,1759,15.01,30.72,32.4,24725,23612,24781,24022,25225,26367,26921,27840,29080,29218,30719,3.8,4.4,3.6,3.8,3.1,3.6,4.3,5.5,4.8,5.7,5.4,0.4186,121300,240700,242400,21.2,22.8,23.9,643,705,228,525,688,1313,1091,35.1,24,33.9,35
MONTGOMERY,14.21,23.59,13.51,36.9,47.58,56.75,41.8,17.48,992,10.08,33.31,104.84,16571,16857,19489,18514,17293,18524,20042,21400,22218,23225,23586,7.9,8.9,7.4,9.2,11.5,9.1,9.7,12.2,10.5,12.6,11.1,0.4041,90000,198500,198700,19.5,21.4,22.2,396,325,196,342,490,850,894,26.9,26.7,39.6,41
MONTPELIER,9.55,21.28,14.93,31.15,54.9,10.25,40.5,783.99,8035,19.54,19.19,180.21,18688,18838,23045,23093,27934,26925,27339,30495,29058,30979,29803,2.2,2.2,2.2,2,1.9,2.4,2.5,3.9,4.2,3.4,2.9,1.0074,108000,197800,202500,20.3,20.6,22.6,2085,2161,202,406,514,763,815,26.3,26.1,29.5,25.7
MORETOWN,6.59,26.62,9.44,31.88,48.85,40.08,38.2,41.24,1653,14.52,25.82,36.9,20590,22823,22992,,26244,27170,28077,30167,,,,6.9,8.8,8,10.5,11.1,7.1,6.4,10.1,10.7,5.9,3.8,0.3176,120900,216600,264200,19.5,19.9,20,497,514,216,446,555,706,820,28.1,25.2,21.3,28.5
MORGAN,15.4,29.45,11.21,44.1,44.9,31.26,38.2,21.4,669,9.87,25.07,37.37,24719,23421,25107,25571,25373,24840,26208,32565,34995,33526,33519,5.5,5.5,4.5,3.8,5.1,5.2,5.5,8.1,7.9,6.8,6.2,0.1705,88300,140200,177000,18.1,19.7,19.5,146,209,185,488,575,,1036,31.7,31.3,23.6,21
MORRISTOWN,10.02,24.17,15.29,34.93,49.22,51.35,39,100.07,5139,12.1,22.13,127.65,,,,,,,,,,,,3.9,2.1,2,2,3.8,5.8,4.1,19.6,13,6.3,3.2,0.6677,109500,217600,238600,20.1,26.7,23.1,1394,1383,207,385,493,879,931,27.7,25.9,28.9,28.7
MOUNT HOLLY,9.67,26.27,11.85,23.05,49.63,49.19,39.1,25.23,1241,13.54,24.11,42.71,28432,30097,31094,32311,34121,34676,35536,36320,39665,40030,40674,3.6,3.8,3.2,3.6,4.5,5,6.1,9.8,8.8,7.3,7,0.295,105600,171800,172700,21.3,26.5,24.1,506,413,270,456,629,723,911,23.4,21.7,18.5,21.3
MOUNT TABOR,10.84,21.67,14.29,33.5,50.25,43.73,40.1,4.64,203,14.29,22.39,103.45,30907,32421,33260,33815,36303,36666,37573,40160,32723,33215,34105,1.6,2,1.7,1.7,1.9,2.2,2.4,3.1,2.8,2.6,2.3,0.05,90000,190600,185400,19.5,24.7,21.8,77,63,150,442,513,759,875,24.6,43,39.2,50
