town,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,2000_population,perc_bach_2000,avg_commute_2000,total_crime_per_1000,avg_wage2000,avg_wage2001,avg_wage2002,avg_wage2003,avg_wage2004,avg_wage2005,avg_wage2006,avg_wage2007,avg_wage2008,avg_wage2009,avg_wage2010,unemployment_rate2002,unemployment_rate2003,unemployment_rate2004,unemployment_rate2005,unemployment_rate2006,unemployment_rate2007,unemployment_rate2008,unemployment_rate2009,unemployment_rate2010,unemployment_rate2011,unemployment_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent1980,med_gross_rent1990,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1989,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011
BELVIDERE,9.18,27.89,11.56,28.91,49.32,32.14,35.2,9.15,294,7.82,38.1,122.45,20379,23165,22955,20179,21731,21509,21879,23689,25545,27527,28777,2.2,2.3,2.4,3.4,6.8,6.9,7.4,6.4,6.2,4.5,5,0.2126,87100,144100,161100,13.5,24.9,25.8,143,134,,275,625,950,988,35.1,33.8,27.5,41.7
BENNINGTON,13.61,23.5,17.77,26.82,53.81,42.43,37.9,370.88,15737,9.25,16.24,157.72,16754,20187,21051,23128,23075,24348,24610,25711,26047,27122,29994,8.2,9.6,8.3,6.4,7.3,7.1,9,8.2,7.4,5.5,5.2,0.7826,94900,155400,162300,19.9,22.6,22.6,3895,3748,222,422,518,678,745,31.3,29.8,32.3,35.7
BENSON,11.55,28.3,11.74,40.62,48.89,43.96,35.5,23.64,1039,9.62,30.5,53.9,23961,25191,27438,28296,28874,30478,31268,32350,34486,34124,34558,3.5,4.2,3.5,3.6,4.6,4.7,5.2,7.1,6.9,5.9,5.4,0.6215,86100,162500,150000,23.8,19.3,21.2,339,352,197,371,496,710,806,26.3,22.5,29.9,36.4
BERKSHIRE,13.62,28.39,9.08,31.63,45.24,42.2,36.1,32.89,1388,4.54,26.03,76.37,27557,28631,29747,30977,32344,34391,35540,35775,36838,37240,38849,4,4.8,4,4,4.3,4.1,4.3,5.2,4.9,4.1,3.5,0.4264,93300,153800,181000,18.7,20.6,21.1,398,446,197,370,481,644,638,25.4,35.6,30.6,38.1
BERLIN,6.67,23.5,16.9,31.77,51.89,36.47,40.7,78.53,2864,8,21.23,241.62,25362,26135,27712,28991,29788,29525,29879,30087,31266,32194,33712,2.1,2.4,2.1,2,2.1,2.1,2.3,2.7,2.4,2.2,2,0.4271,95000,167400,191900,19,21.8,23.3,844,1006,226,437,504,928,1074,21.9,24.3,26.4,24.7
BETHEL,10.52,24.7,12.96,33.23,50.73,45.3,39,43.44,1968,12.5,23.48,77.24,21085,20986,22969,23652,23870,25378,25995,28090,35405,28933,31137,2.8,2.9,2.7,2.6,2.8,2.4,3,4.6,3.5,3.1,3,0.69,94300,181600,191600,21.3,22.2,24.5,869,823,186,380,492,818,767,26.8,26.9,25.9,24.9
BLOOMFIELD,4.98,27.2,14.94,32.18,45.25,40.42,38.7,6.46,261,4.6,19.33,11.49,17188,17742,17099,18672,20859,20260,20974,21846,24547,23971,23362,3.9,4.5,3.5,3.2,3.8,3.7,4.2,6.5,7,5.4,3.9,0.3399,70600,113400,134400,13.8,19.4,22.5,85,85,130,345,467,,,35.1,23.3,50,
BOLTON,5.25,28.94,5.97,41.61,48.88,42.48,34.9,22.86,971,18.85,28.57,60.76,20087,22042,22922,23147,24474,25861,27310,28919,28924,29279,30414,3.2,3.7,3.5,3.4,3.2,3.1,3.9,6.7,5.6,5.8,5.8,0.52,101200,206200,201500,19.6,23,22.9,401,399,278,518,850,742,1073,21.8,27.5,36.9,27.5
BRADFORD,11,26.16,15.62,31,50.65,29.81,40,87.84,2619,8.17,23.63,80.57,20986,21528,22682,24332,24561,26913,25578,26406,30120,27842,27625,19.7,26.9,21.6,12.6,3.6,4.4,5.8,6.6,5.6,4.7,5.2,0.6288,96000,173900,181200,21.1,22.7,21.3,831,902,201,457,523,719,696,27.7,26.9,30.8,38.5
BRAINTREE,6.45,25.29,12.56,31.66,48.38,38.28,40,31.19,1194,8.96,25.53,45.23,29149,30198,30761,31438,33804,34396,35556,36517,37622,38946,37835,2.9,3.3,2.9,2.7,2.8,3.3,3.7,6.3,6.5,5.5,5,0.9337,85700,141000,142200,18.5,22.8,22.4,454,490,220,369,535,458,766,22.9,21.9,31.1,27.5
BRANDON,11.16,24.71,13.68,30.74,52.01,40.13,39.3,97.61,3917,11.26,24.8,83.99,25076,26776,27512,28805,29759,30487,31183,32479,34067,35204,36221,3.6,3.6,3,2.8,2.9,3.5,4,6.6,6.3,6,5.2,0.6426,87700,152500,161600,21.3,22.7,23.1,1143,1384,207,444,510,621,678,30.9,31.6,27.2,32.2
BRATTLEBORO,12.68,22.28,16.63,31.28,54.38,31.99,40.2,375.28,12005,14.34,17.07,203.67,22534,17860,23217,23305,25141,25361,30753,28807,27887,26423,27147,3,3.1,2.4,2.5,2.4,2.4,3.1,4.6,4.8,4.8,4.1,1.0941,106000,188500,203500,18.8,24.1,25.9,2880,3122,218,454,546,665,723,28.6,27.4,29.4,27.5
BRIDGEWATER,7.86,23.06,13.27,33.98,49.9,49.55,41,19.78,980,12.24,21.18,45.92,25746,26582,28031,28191,29738,31083,31343,32467,33209,35560,35884,2.1,3.1,2.7,2.2,2.3,2.3,2.8,4,4.3,3.5,3.1,0.3549,108000,248700,237500,19.1,24.1,21.8,189,207,254,396,528,785,795,24.6,24.8,28.7,29.5
BRIDPORT,6.88,26.88,12.71,30.28,47.23,43.98,36.5,28.08,1235,11.26,21.8,30.77,23988,22429,19886,22473,23697,23730,22548,22326,22018,22004,23345,4.7,5.1,4,4.2,3.7,4,5.1,6.2,6.2,5.6,3.8,0.4598,114100,217200,233200,22.4,22.8,22.7,413,429,229,449,588,1016,934,18,21.8,25.7,15.3
BRIGHTON,19.13,25,18.17,21.19,49.62,52.19,40.9,24.14,1260,4.44,18.73,27.78,30477,31882,32835,34791,34887,34584,35706,38205,40589,40412,42478,6,7.1,5.6,3.5,1.8,2,2.1,2.1,1.9,1.9,1.6,0.5329,64600,122900,128500,18.8,19.3,22.3,343,351,186,297,373,377,425,28.8,27.5,30.6,35.5
BRISTOL,10.24,27.72,10.9,37.99,50.5,41.77,37.1,90.68,3788,8.47,26.47,131.2,17798,19406,19388,20155,26121,26201,29747,27616,26788,30223,37137,6.8,8.2,7.1,7.5,8.1,8.4,8.9,10.6,9.9,8.7,7.4,0.5625,109000,203400,217400,21,21.4,22.1,1057,1183,226,441,545,795,802,24,21.9,29.7,28.9
BROOKFIELD,6.06,25.12,11.37,26.51,48.41,41.4,40.5,29.52,1222,10.72,26.43,32.73,28932,32009,34441,35100,39649,37833,38628,42085,46047,42428,42603,8.2,10.1,7.5,7.1,7.4,6.6,7.3,5.2,4.5,3.3,3.3,0.4104,115900,199500,209800,22.2,19.5,20.2,380,387,200,425,625,871,955,24.4,20.8,13.9,17.5
BROOKLINE,8.78,27.19,10.71,30.62,50.86,12.91,39,36.18,467,8.99,25.32,29.98,26598,35793,38161,39795,40793,46656,56342,36546,35063,35076,37127,3.3,3.8,3.4,2.6,2.7,3.1,3.8,6.2,5.2,3.7,3.3,0.3028,105600,172700,192400,22.5,25.7,25.8,173,196,217,425,617,1153,1175,20.4,17.5,45,47.9
