namecode,town,mun_tax_rate2002,mun_tax_rate2003,mun_tax_rate2004,mun_tax_rate2005,mun_tax_rate2006,mun_tax_rate2007,mun_tax_rate2008,mun_tax_rate2009,mun_tax_rate2010,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,owner_occ_homes20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20072011
11020,Enosburg,0.682,0.732,0.742,0.7722,0.6222,0.731,0.4098,0.4646,0.4829,0.4858,83100,148100,155000,20.4,24.6,813,21.1,794
11025,Fairfax,0.5,0.496,0.506,0.53,0.3518,0.343,0.339,0.426,0.3915,0.398,126500,218300,242600,22.9,23.5,1241,23.8,1371
11030,Fairfield,0.7,0.53,0.57,0.65,0.64,0.71,0.72,0.48,0.5411,0.5413,99100,199700,201400,19.7,22.3,660,24.4,642
11035,Fletcher,0.603,0.492,0.51,0.5008,0.467,0.5185,0.531,0.5344,0.534,0.5247,114400,221000,223700,21.8,24.3,449,22.7,471
11040,Franklin,0.44,0.48,0.554,0.31,0.3691,0.35,0.348,0.381,0.366,0.3508,96100,176300,169900,17.4,23.2,491,23.5,519
11045,Georgia,0.3633,0.3742,0.3878,0.3758,0.3808,0.2114,0.2247,0.229,0.2529,0.2554,124800,231300,250500,21.1,24.5,1481,23.7,1429
11050,Highgate,0.24,0.25,0.27,0.28,0.3013,0.3064,0.2817,0.2034,0.1831,0.1835,93300,184500,186100,19.1,21.4,973,23.1,972
11055,Montgomery,0.47,0.49,0.5,0.365,0.3623,0.3628,0.3846,0.4208,0.4192,0.4041,90000,198500,198700,19.5,21.4,396,22.2,325
11060,Richford,1.19,1.227,1.208,1.3276,1.2607,0.6226,0.7212,0.7988,0.7239,0.6657,59400,112000,128600,18.1,22.6,646,24.5,696
11065,St. Albans City,1.146,1.146,0.747,0.789,0.804,0.8476,0.9083,0.9806,1.0139,1.0341,96900,188800,197100,19.6,24.5,1540,24.8,1561
11070,St. Albans Town,0.3024,0.3156,0.3429,0.3457,0.403,0.4223,0.4549,0.2642,0.3212,0.3301,112100,215000,226700,21.3,25,1740,22.4,1745
11075,Sheldon,0.3233,0.3318,0.3544,0.3714,0.343,0.3825,0.41,0.45,0.2693,0.2963,97200,179300,179600,20.5,26,647,23.8,631
11080,Swanton,0.3599,0.3179,0.3558,0.4073,0.3543,0.3964,0.295,0.2274,0.2989,0.2448,99500,193400,198800,19.9,23.5,1813,22.7,1868
13005,Alburg,0.6501,0.5744,0.4395,0.4515,0.4822,0.5849,0.6825,0.6922,0.6179,0.6243,84900,164900,183700,21.4,25.4,676,24.6,619
13010,Grand Isle,0.4018,0.4081,0.281,0.3262,0.4636,0.4656,0.5389,0.2585,0.2357,0.2176,135600,224300,239700,23.3,26,773,24,769
13015,Isle La Motte,0.52,0.52,0.57,0.53,0.59,0.43,0.4054,0.4106,0.3859,0.1835,100500,210900,237500,25.8,29.5,159,31.9,197
13020,North Hero,0.45,0.41,0.43,0.44,0.38,0.24,0.2523,0.2283,0.2685,0.2694,143900,252300,283300,15.2,22.5,409,23.6,392
13025,South Hero,0.31,0.37,0.36,0.41,0.4844,0.4707,0.4809,0.211,0.2358,0.2221,166800,323800,336600,20.3,23,558,24.1,567
15005,Belvidere,0.5047,0.5143,0.5861,0.4144,0.4257,0.4068,0.3572,0.39,0.28,0.2126,87100,144100,161100,13.5,24.9,143,25.8,134
15010,Cambridge,0.371,0.387,0.405,0.41,0.46,0.2718,0.296,0.3,0.292,0.32,123600,223500,233600,20.8,22.1,971,22.3,1101
15015,Eden,0.71,0.53,0.59,0.73,0.73,0.775,0.6982,0.43,0.3925,0.3958,76400,123900,144600,17.5,23.3,391,21.7,414
15020,Elmore,0.51,0.56,0.54,0.57,0.33,0.32,0.35,0.38,0.37,0.41,128400,219600,234700,21.3,21.7,339,21.3,309
15025,Hyde Park,0.86,0.89,0.87,1.02,1.03,0.55,0.56,0.565,0.5725,0.5884,100300,181500,185800,19.3,22.5,1074,21.8,1041
15030,Johnson,0.8732,0.8863,0.901,0.625,0.65,0.6905,0.683,0.814,0.7693,0.5575,84400,138600,155000,21.3,23.8,733,26.8,805
15035,Morristown,0.873,0.9014,0.6811,0.7023,0.7619,0.7956,0.6187,0.6733,0.667,0.6677,109500,217600,238600,20.1,26.7,1394,23.1,1383
15040,Stowe,0.473,0.5492,0.6027,0.6456,0.3376,0.3321,0.3358,0.3519,0.356,0.3565,217600,416200,415300,23.2,29.2,1178,29.8,977
15045,Waterville,0.45,0.47,0.52,0.3869,0.3899,0.4289,0.4475,0.5395,0.5734,0.4389,98900,161500,164400,23.8,19.9,224,24.6,244
15050,Wolcott,0.63,0.63,0.65,0.7348,0.7552,0.8045,0.4222,0.4412,0.4336,0.466,84700,164900,189200,19.3,24.3,601,26.6,577
17005,Bradford,0.5965,0.5845,0.5852,0.5712,0.7409,0.7081,0.5497,0.5664,0.5961,0.6288,96000,173900,181200,21.1,22.7,831,21.3,902
17010,Braintree,0.5584,0.6271,0.6162,0.7392,0.5836,0.5822,0.6189,0.6675,0.9249,0.9337,85700,141000,142200,18.5,22.8,454,22.4,490
17015,Brookfield,0.37,0.35,0.38,0.49,0.48,0.5812,0.375,0.4247,0.443,0.4104,115900,199500,209800,22.2,19.5,380,20.2,387
17020,Chelsea,0.48,0.6728,0.6,0.536,0.5948,0.4528,0.4347,0.48,0.4932,0.4755,94800,168500,175800,19.3,22.7,410,22.8,472
17025,Corinth,0.646,0.666,0.661,0.6808,0.6533,0.7455,0.519,0.5286,0.5805,0.5952,90100,168200,168800,19.4,22.8,491,24.8,453
17030,Fairlee,0.5,0.72,0.76,0.35,0.38,0.357,0.348,0.28,0.32,0.2872,130000,222200,234000,20.8,22.7,305,23,288
17035,Newbury,0.57,0.55,0.49,0.52,0.56,0.445,0.5,0.4482,0.51,0.5,97900,177500,180700,19.2,24.2,738,22.9,830
17040,Orange,0.56,0.6,0.6323,0.493,0.5267,0.5152,0.6124,0.6189,0.4596,0.4164,93200,147000,153000,21.9,22.1,386,21.2,376
17045,Randolph,1.07,0.786,0.753,0.8582,0.9126,0.59,0.6025,0.612,0.6098,0.6595,97500,169300,177100,21.9,23.1,1283,22.3,1285
17050,Strafford,0.59,0.52,0.62,0.65,0.67,0.7233,0.424,0.4611,0.4631,0.4888,152200,243000,272300,20.4,22.2,403,22.4,426
17055,Thetford,0.5743,0.3694,0.5165,0.5232,0.3886,0.415,0.4722,0.5321,0.5261,0.5136,139600,255900,243300,20,21.9,886,21.7,858
17060,Topsham,0.5907,0.5533,0.602,0.71,0.71,0.793,0.7812,0.5798,0.62,0.6094,79700,119100,143800,17.9,20.5,421,25,458
17065,Tunbridge,0.6,0.4,0.43,0.39,0.51,0.617,0.589,0.813,0.742,0.455,112100,207400,187500,13.3,22.4,416,22.4,438
17070,Vershire,0.75,0.94,0.97,0.83,0.756,0.715,0.7117,0.8109,0.8081,0.8106,76400,173700,172800,19.8,22.9,186,26.1,213
17075,Washington,0.76,0.78,0.77,0.8,0.85,0.865,0.46,0.48,0.49,0.4947,89700,168200,172600,17.7,21.5,350,20.3,365
17080,West Fairlee,0.4762,0.4572,0.4767,0.3328,0.3528,0.3842,0.3807,0.4578,0.6242,0.6158,95500,146300,167400,17.3,24.9,222,22.8,228
17085,Williamstown,0.672,0.6711,0.7361,0.7001,0.5526,0.6128,0.6715,0.6613,0.5427,0.5604,88200,151000,161800,21.4,23.7,1044,21.5,1178
19005,Albany,0.7364,0.4803,0.5267,0.4643,0.4814,0.4716,0.6239,0.3058,0.3622,0.3778,76300,131900,152100,18.4,23.1,264,28.7,318
19010,Barton,0.4699,0.7306,0.8087,0.7104,0.4702,0.4431,0.4642,0.4923,0.4951,0.4739,76900,116600,119800,19.9,23.4,818,22.2,813
19015,Brownington,0.8361,0.814,0.772,0.743,0.851,0.964,0.9983,0.5761,0.5591,0.5755,68600,118400,138700,17.8,21.3,323,20.4,291
19020,Charleston,0.618,0.6472,0.7341,0.7257,0.7633,0.4862,0.4942,0.4892,0.5279,0.5123,79000,138900,147400,20.8,20.8,260,20.7,233
19025,Coventry,,,,,,,0,,0,0,73700,159500,160400,19.1,18.3,357,21.5,394
19030,Craftsbury,0.653,0.6965,0.7368,0.7769,0.434,0.45,0.5135,0.5641,0.5856,0.56,89300,160600,162500,19.4,25.4,344,28.4,365
19035,Derby,0.383,0.4137,0.4133,0.4263,0.445,0.4957,0.3413,0.3286,0.3101,0.326,86900,150400,166500,19.2,19.2,1596,20.6,1458
19040,Glover,0.52,0.585,0.467,0.475,0.43,0.5,0.4205,0.4696,0.5264,0.4676,82300,155400,151500,20.8,23.5,349,23.5,370
19045,Greensboro,0.57,0.56,0.49,0.55,0.76,0.54,0.5601,0.5791,0.6246,0.4644,123800,175700,215500,16.6,19.3,260,27.1,264
19050,Holland,0.483,0.4755,0.5465,0.7011,0.6615,0.4679,0.488,0.5305,0.6012,0.5957,81500,158900,152200,19.7,27.9,234,19.7,224
19055,Irasburg,0.3052,0.278,0.267,0.3185,0.4632,0.3737,0.412,0.4063,0.3822,0.4779,83000,155800,166700,17.9,20,309,20.3,362
19060,Jay,0.36,0.36,0.428,0.4329,0.4604,0.444,0.544,0.5094,0.2805,0.2746,86500,155900,188900,18.5,22.1,134,23.1,174
19065,Lowell,0.586,0.62,0.629,0.638,0.673,0.9228,0.4057,0.4484,0.517,0.5136,66400,113700,135800,18.2,21,276,24.4,301
19070,Morgan,0.282,0.2614,0.378,0.3114,0.3217,0.2842,0.3566,0.1816,0.1707,0.1705,88300,140200,177000,18.1,19.7,146,19.5,209
19075,Newport City,1.181,1.179,1.197,0.9211,0.9543,0.9894,1.0746,1.1833,1.171,1.209,79800,125900,139800,19.7,24.9,1181,25.3,1059
19080,Newport Town,0.591,0.54,0.567,0.4108,0.4101,0.4528,0.4902,0.5308,0.3674,0.3488,88600,163000,163500,20.4,23.3,484,26,538
19085,Troy,0.4165,0.4678,0.5345,0.5389,0.2917,0.3473,0.3825,0.4213,0.4298,0.4286,75900,135500,129500,20.6,23.3,541,25,498
19090,Westfield,0.5307,0.53,0.638,0.6465,0.7033,0.6768,0.6263,0.7372,0.3709,0.4589,88900,123300,168400,20.7,30.2,140,22.7,173
19095,Westmore,0.58,0.54,0.5989,0.5927,0.6997,0.6975,0.3403,0.3216,0.3645,0.3555,89700,178600,217600,20.7,17.1,102,18.1,136
21005,Benson,0.5321,0.52,0.55,0.6761,0.5674,0.576,0.5932,0.647,0.5845,0.6215,86100,162500,150000,23.8,19.3,339,21.2,352
21010,Brandon,0.8357,0.8681,0.8462,0.9133,1.0042,1.0172,1.0927,0.6368,0.619,0.6426,87700,152500,161600,21.3,22.7,1143,23.1,1384
21015,Castleton,0.547,0.5423,0.5286,0.3168,0.3724,0.3444,0.3562,0.3617,0.3746,0.3588,98200,170900,194800,19.4,23.8,1178,21.7,1254
21020,Chittenden,0.52,0.41,0.55,0.5,0.46,0.55,0.47,0.5306,0.4905,0.3903,128900,218900,239700,19.4,19.5,393,19.3,406
21025,Clarendon,0.42,0.5109,0.5306,0.5596,0.6334,0.6146,0.6522,0.8123,0.53,0.431,96500,145400,168100,20.1,20.1,921,19.6,827
21030,Danby,0.61,0.63,0.63,0.75,0.82,0.5,0.54,0.53,0.54,0.53,93200,211300,225000,18,19.7,397,22.3,418
21035,Fair Haven,1,1.05,1.1092,1.1543,1.2218,1.2218,1.2236,1.4931,0.8206,0.8809,80400,146200,153500,19,23.2,766,25.1,659
21040,Hubbardton,0.66,0.695,0.745,0.675,0.75,0.53,0.55,0.545,0.56,0.56,106100,173800,194700,20.2,25,228,20.2,246
21045,Ira,0.46,0.5,0.43,0.3285,0.4088,0.3454,0.3471,0.2252,0.3215,0.3519,102500,174500,180800,21.7,22.7,155,21.9,164
21047,Killington,0.347,0.316,0.306,0.3036,0.2936,0.2799,0.2675,0.2769,0.3106,0.3223,195600,295000,294500,16.8,21.7,350,23.9,275
