town,avg_commute1980,avg_commute1990,avg_commute_2000
CAMBRIDGE,23.07972665,25.25222552,32.16579101
CANAAN,11.58648111,12.44420131,14.70703125
CASTLETON,14.70442359,18.11639425,22.42508888
CAVENDISH,21.95826645,20.57461407,26.08461538
DANBY,24.71325301,23.34944238,25.87792642
CHARLOTTE,19.19638455,22.41377281,25.05230769
BURKE,19.55813953,19.66233766,24.01863354
CHESTER,16.46738233,15.91856392,21.36613902
CHITTENDEN,20.03759398,19.07392996,22.72277228
CLARENDON,16.23671498,17.4735031,18.18894952
COLCHESTER,17.2915865,17.01744411,19.72243223
CONCORD,22.14669927,20.61330561,24.97311828
CORINTH,22.37110482,28.5460251,30.9375
CORNWALL,11.52553191,16.38266385,17.3518851
CHARLESTON,19.43042071,18.534375,22.16535433
VICTORY,22.5,31.81818182,36.8627451
WATERVILLE,25.90640394,23.77832512,32.2295082
WATERFORD,16.1475827,18.48373102,22.89565217
WATERBURY,17.83091787,18.59830867,25.22753567
WASHINGTON,20.975,26.57627119,29.61748634
WARREN'S GORE,,,
WARREN,16.87991266,16.30560272,22.0011274
WARNER'S GRANT,,,
WARDSBORO,27.17180617,23.19702602,27.25181598
WALTHAM,14.77717391,19.27027027,23.05429864
WALLINGFORD,19.51974522,19.1961165,23.79003559
SUTTON,25.19305019,19.51928783,24.3902439
WAITSFIELD,13.85736434,16.63404255,21.20866591
ORWELL,16.92405063,24.17596567,23.93474088
VERSHIRE,23.94059406,28.62790698,30.64393939
VERNON,17.61111111,17.68665158,20.38099718
VERGENNES,14.06389776,19.22798888,22.13728549
UNDERHILL,26.8757515,28.29727891,30.5078125
TUNBRIDGE,27.38035264,27.21374046,26.875
TROY,17.03001876,19.68686869,26.10284168
TOWNSHEND,17.23188406,21.29462366,23.71595331
TOPSHAM,25.01298701,29.69689737,31.36986301
TINMOUTH,28.26190476,22.94871795,28.36134454
THETFORD,19.98101898,19.90756972,23.99536321
SWANTON,19.31482425,21.39258951,24.5428475
WALDEN,25.375,31.56554307,28.59116022
WHITING,15.97005988,19.81122449,27.32240437
WORCESTER,25.86941581,26.77929155,27.60775862
WOODSTOCK,11.69640565,15.86542443,20.01681237
WOODFORD,18.71794872,19.57364341,23.10945274
WOODBURY,23.49576271,30.16666667,32.53779698
WOLCOTT,17.70441989,21.86122449,28.51182197
WINOOSKI,15.7647258,15.6586898,18.90790292
WINHALL,23.24489796,13.06770833,18.40336134
WINDSOR,14.3940857,17.33294324,21.38059701
WINDHAM,22.95,22.48958333,24.16666667
WILMINGTON,14.63305979,15.56035437,19.27568042
WILLISTON,12.20805369,14.68877167,18.53960396
WEATHERSFIELD,17.05833333,19.43111831,23.44268477
WHITINGHAM,20.99550562,19.71766849,27.25677831
WELLS,21.48026316,24.28826531,27.62806236
WHEELOCK,21.87820513,18.75877193,20.9486166
WEYBRIDGE,17.24482759,13.56986301,17.64945652
WESTON,18.3115942,15.52112676,35.42682927
WESTMORE,6.873417722,25.01149425,23.4496124
WESTMINSTER,19.42896175,18.97072522,20.74481074
WESTFORD,27.3419062,28.22037652,29.6669708
WESTFIELD,15.77108434,17.87417219,25.92760181
WEST WINDSOR,18.10179641,23.48526077,26.14889706
ORANGE,22.3537415,22.8346056,27.00636943
WEST HAVEN,18.15384615,20.05673759,24.65517241
WEST FAIRLEE,26.65116279,26.09057971,29.81981982
WILLIAMSTOWN,16.72413793,18.15284178,23.91512444
POWNAL,19.32515767,21.33839342,22.73829667
RUTLAND TOWN,10.43187831,16.0845666,16.72559761
RUTLAND CITY,11.12940469,13.17578268,15.10474589
RUPERT,14.13333333,21.69454545,29.93079585
ROYALTON,20.60421546,23.38808511,25.93355761
ROXBURY,17.07142857,18.81896552,28.48375451
ROCKINGHAM,15.74422512,18.35184382,18.19294606
ROCHESTER,16.64086022,19.5093633,22.77777778
RIPTON,22.87341772,23.67942584,25.48109966
RICHMOND,20.63235294,19.74513619,23.829881
RICHFORD,14.51428571,17.78640777,29.93834081
READSBORO,16.68493151,30.9375,33.22368421
RYEGATE,19.4939759,19.71492205,26.62
PUTNEY,16.59023355,16.08859649,20.58731402
RANDOLPH,11.65704154,15.31871759,21.73109966
POULTNEY,17.56064257,19.11379987,21.07752957
POMFRET,25.808933,22.06407323,21.80443548
PLYMOUTH,21.41212121,17.42708333,22.52988048
PLAINFIELD,17.70705244,21.32417582,21.46577381
PITTSFORD,16.68729373,18.10928571,24.34996919
PITTSFIELD,18.33532934,22.46486486,21.19815668
PERU,17.5703125,14.8015873,23.27586207
PEACHAM,21.22110553,26.29875519,22.75092937
PAWLET,20.97748593,20.25274725,24.94087838
SUNDERLAND,15.92463768,18.92572944,17.88113695
WEST RUTLAND,17.71373308,14.16841187,20.04661017
READING,24.20833333,21.94136808,33.52238806
ST. JOHNSBURY,13.49230296,13.04881701,17.53715815
SUDBURY,27.05921053,23.85152838,37.69642857
PROCTOR,17.59574468,15.35326689,21.99669967
SALISBURY,14.66005666,16.56332703,20.76335878
STRAFFORD,27.02795031,27.28179551,28.29218107
STOWE,13.97411003,14.26993865,22.30506156
